date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2018-01-26,317.0,280.67,261.0,253.5,223.67,209.67,210.75,198.67,234.0,221.0,221.33,215.67,218.33,196.33,195.0,176.0,199.0,219.0,262.0,297.33,335.67,345.0,378.67,328.33,2
2018-01-27,312.67,273.33,253.0,229.5,230.0,222.67,206.33,226.67,216.48,232.5,232.33,232.67,232.33,252.92,240.83,235.25,227.0,265.5,292.83,312.67,330.17,341.5,353.67,336.67,2
2018-01-28,328.0,273.0,236.67,229.5,217.0,211.33,198.5,212.33,210.0,220.83,208.67,229.5,243.33,242.67,248.17,256.0,246.83,286.33,313.33,338.83,343.33,352.67,356.83,323.67,2
2018-01-29,328.67,264.67,236.0,216.17,204.83,208.33,182.67,190.0,245.33,192.0,194.83,187.0,189.0,206.67,185.67,170.67,184.33,204.0,257.0,325.0,339.67,385.67,419.17,371.0,2
2018-01-30,326.67,280.33,259.0,239.0,225.83,223.67,201.0,229.0,232.0,203.0,205.92,198.0,182.0,185.67,168.33,168.0,185.5,221.67,268.0,308.83,323.33,363.83,373.9,362.83,2
2018-01-31,320.5,298.33,255.67,239.83,243.83,236.0,214.0,231.0,218.33,190.5,190.67,180.17,200.33,194.67,183.0,179.67,178.67,183.0,247.67,294.67,346.33,371.83,393.17,363.83,2
2018-02-01,349.0,274.0,253.67,223.5,226.5,229.17,210.83,211.33,252.5,217.5,174.83,179.17,172.33,175.67,179.17,152.67,162.67,183.67,273.83,292.67,306.5,349.0,365.0,354.0,2
2018-02-02,316.67,305.0,260.0,239.0,227.0,223.0,215.33,219.67,210.33,192.67,175.0,155.67,168.0,171.33,167.0,158.33,170.0,162.67,230.67,247.5,261.83,302.33,306.0,300.5,2
2018-02-03,298.33,270.0,227.0,233.67,211.33,211.33,192.5,194.67,184.17,188.17,186.83,183.67,189.83,180.83,176.33,180.33,187.33,206.17,241.5,263.0,285.67,307.5,345.83,316.67,2
2018-02-04,295.33,242.67,222.67,234.0,213.5,213.33,187.33,187.0,179.67,190.67,206.33,207.67,204.17,220.17,198.17,198.0,184.33,220.33,281.0,316.0,337.0,344.0,355.0,320.67,2
2018-02-05,297.67,259.5,222.33,203.83,213.0,191.33,163.5,191.0,219.33,172.0,160.0,166.0,159.33,181.0,158.33,168.33,154.0,162.33,246.0,305.0,307.33,336.0,360.33,341.0,2
2018-02-06,307.33,282.0,227.67,222.67,220.67,205.33,181.33,190.33,199.0,199.0,172.0,167.0,195.0,167.0,169.0,157.0,154.33,153.67,240.83,257.83,294.0,306.17,338.83,325.75,2
2018-02-07,282.5,239.33,222.67,220.67,202.0,217.33,181.0,196.67,203.33,207.67,164.0,159.0,163.67,178.0,144.33,152.33,161.33,155.0,224.5,280.33,277.0,334.0,325.0,307.0,2
2018-02-08,288.67,235.33,209.67,210.0,199.67,194.0,178.0,188.0,210.67,181.0,157.67,153.67,153.5,163.67,164.33,152.33,153.17,161.0,217.0,240.0,279.67,285.0,322.0,303.5,2
2018-02-09,278.33,240.33,214.42,205.67,201.0,206.33,175.33,172.5,188.33,183.67,174.0,152.67,161.33,165.0,173.0,168.0,156.83,183.67,251.33,266.33,294.0,277.67,286.17,253.58,2
2018-02-10,263.33,241.33,219.0,218.33,199.67,196.67,183.0,182.67,190.67,181.0,208.33,173.5,180.33,172.67,180.0,168.0,173.0,171.67,239.0,268.0,240.67,274.33,285.33,270.0,2
2018-02-11,257.0,222.0,192.33,193.83,186.0,183.83,162.17,169.83,157.83,162.83,158.5,155.67,166.83,160.17,164.33,170.33,172.17,164.5,244.0,231.0,253.67,243.67,253.83,247.0,2
2018-02-12,233.67,198.5,198.0,181.33,181.17,178.0,167.5,162.67,187.0,167.0,173.67,154.0,157.5,153.0,145.0,142.67,153.83,152.67,216.5,229.67,231.83,231.33,228.5,225.33,2
2018-02-13,219.67,197.33,182.67,177.5,170.33,159.17,152.0,168.33,141.0,155.33,157.67,145.17,147.33,135.17,148.67,149.0,135.5,134.33,197.33,226.67,215.67,224.5,224.33,199.5,2
2018-02-14,199.33,175.67,180.67,168.83,158.0,152.555,147.11,141.665,136.22,130.775,125.33,148.5,131.17,134.5,139.0,139.33,138.67,141.33,192.17,202.0,195.17,193.5,197.67,161.0,2
2018-02-15,170.0,167.0,149.0,153.83,149.0,140.0,136.0,127.67,126.0,130.33,139.67,130.33,148.33,123.67,137.0,127.0,127.33,150.0,190.0,179.67,185.33,197.67,179.17,160.0,2
2018-02-16,159.33,156.0,152.0,155.83,154.0,146.0,132.67,149.33,126.67,129.33,127.0,128.33,137.67,120.67,131.33,126.0,127.83,129.33,199.33,180.33,179.67,203.33,187.67,159.5,2
2018-02-17,165.67,172.0,164.0,164.17,164.83,148.17,132.5,147.67,134.33,122.33,132.17,116.17,129.17,125.83,130.33,121.17,141.5,139.33,192.67,187.0,192.0,209.33,194.67,171.0,2
2018-02-18,157.33,158.0,152.67,148.0,154.67,144.17,133.17,139.17,133.0,119.67,130.5,123.33,140.0,135.33,128.83,130.17,130.5,147.17,184.5,185.83,199.83,206.67,200.17,184.33,2
2018-02-19,178.0,163.5,160.67,164.67,161.5,162.67,132.0,147.33,140.5,132.67,131.67,137.17,138.83,147.67,150.33,156.83,158.33,166.17,203.67,206.33,205.67,200.83,233.83,209.17,2
2018-02-20,199.33,197.0,177.0,175.33,161.0,159.0,139.83,139.33,144.33,129.0,165.33,134.67,163.33,165.33,156.0,150.67,143.0,174.67,215.33,225.17,211.67,241.33,233.33,224.33,2
2018-02-21,202.83,184.33,171.33,173.0,173.33,165.67,151.17,159.67,153.0,167.67,157.17,157.0,169.0,160.33,164.67,164.17,169.17,175.17,230.33,270.33,262.67,243.17,295.67,249.0,2
2018-02-22,225.0,214.67,192.67,189.83,180.9,181.58,167.67,171.17,187.33,188.83,166.5,157.67,167.0,179.83,170.17,159.83,174.17,180.17,242.67,274.17,278.5,298.33,287.33,273.33,2
2018-02-23,258.0,223.67,201.0,193.67,186.92,184.33,169.67,175.33,183.0,188.33,158.67,155.17,183.0,175.0,152.0,163.67,164.0,176.67,251.33,253.67,274.67,300.0,303.0,287.33,2
2018-02-24,262.67,245.5,209.0,203.17,225.67,198.17,184.17,190.67,186.17,186.83,188.33,171.67,192.0,190.33,200.5,195.67,214.67,228.33,287.67,307.0,335.67,359.67,368.0,347.17,2
2018-02-25,319.0,268.33,244.67,236.67,217.0,215.0,204.67,192.0,218.0,216.0,225.0,232.67,218.33,243.0,252.0,234.0,279.67,252.0,340.67,352.67,377.33,393.0,445.0,403.0,0
2018-02-26,345.33,304.0,245.0,246.83,223.17,219.0,191.33,206.83,254.67,228.67,216.0,219.33,194.67,210.0,175.67,193.67,179.0,215.33,306.0,347.0,375.33,382.33,460.33,416.0,2
2018-02-27,361.0,291.33,257.67,252.67,253.67,249.67,229.67,238.33,282.0,211.33,206.67,182.33,177.67,164.33,169.83,206.0,193.0,234.67,335.67,370.33,357.0,346.0,386.0,385.67,2
2018-02-28,320.33,261.0,252.17,235.0,202.17,207.0,192.0,218.0,270.5,205.5,190.17,200.67,219.5,217.17,201.5,203.5,193.5,218.0,279.17,317.67,325.5,341.42,384.5,355.33,2
2018-03-01,295.0,246.67,221.67,207.83,196.67,184.0,177.0,184.67,227.67,186.33,174.0,183.0,195.0,194.33,203.0,187.33,187.67,224.67,287.67,326.33,359.33,382.33,377.33,366.67,2
2018-03-02,335.67,278.33,248.67,232.33,206.33,201.0,185.33,210.33,242.0,206.67,216.0,228.33,215.67,251.67,236.33,236.67,211.67,237.67,305.67,282.67,328.67,327.0,358.67,335.0,2
2018-03-03,309.0,262.67,226.67,206.0,199.67,203.0,175.67,181.33,208.5,195.33,225.83,204.0,226.83,247.83,243.0,235.33,214.33,218.17,282.67,298.17,299.67,348.83,321.83,312.33,2
2018-03-04,278.17,254.0,206.0,191.67,182.33,183.0,166.5,164.0,177.33,208.5,203.17,210.17,214.67,207.83,213.83,190.17,200.5,202.83,287.67,291.83,284.5,322.67,338.33,273.5,2
